timestamp,question,answer
2024-03-11 18:59:03,دکتر غلامرضا کیانی کیست؟,  جواب: دکتر غلامرضا کیانی 
2024-03-11 19:32:49,دکتر غلامرضا کیانی کیست؟,دکتر غلامرضا کیانی، استاد دانشگاه تهران و استاد دانشگاه هاروارد است.
2024-03-11 20:16:32,بر اساس متن داده شده،دکتر غلامرضا کیانی کیست؟,دکتر غلامرضا کیانی، از اولین و موفق ترین محققان در اين زمينه، اصول مهمي را درباب ة رقابـت محـيط كسب وكار بيان كرده است: 
2024-03-11 20:50:29,مدیر عامل نشر فردا کیست؟, مدیر عامل نشر فردا، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، كه در سال ٢٠٠٠ میلادی تاسیس شد، ك
2024-03-11 21:37:35,مدیر عامل نشر فرا کیست؟,  مدیر عامل نشر فرا کیست؟
2024-03-11 22:16:55,مدیر عامل نشر فرا کیست؟,  جواب در متن وجود ندارد.
2024-03-11 22:26:07,,  جواب در متن وجود ندارد.
2024-03-12 07:56:09,مدیر عامل نشر فرا کیست؟,  جواب در متن وجود ندارد.
2024-03-12 07:58:34,دکتر غلامرضا کیانی کیست؟,  دکتر غلامرضا کیانی از بنیانگذاران و اولین رئیس دانشگاه تهران است.
2024-03-12 08:30:55,مدیر عامل نشر فرا کیست؟,   جواب در متن وجود ندارد.
2024-03-12 08:58:39,مدیر عامل نشر فرا کیست؟,   جواب در متن وجود ندارد.
2024-03-12 09:19:49,دکتر غلامرضا کیانی  بر اساس متن داده شده،کیست؟,پاسخ: دکتر غلامرضا کیانی  از اولین و موفق ترین محققان در اين زمينه است.
2024-03-12 18:29:09,مدیر عامل سازمان مدیریت فرا کیست؟, روزهای دوشنبه و سه شنبه 9 صبح الی 12 و پنجشنبه 9 صبح الی 12 و جمعه 9 صبح الی 12 و شنبه 9 صبح الی 12 و سه شنبه 9 صبح الی 12 و پنجشنبه 9 صبح الی 12 و جمعه 9 صبح الی 12 و شنبه 9 صبح الی 12 و سه شنبه 9 صبح الی 12 و پنجشنبه 9 صبح الی 12 و جمعه 9 صبح الی 12 و شنبه 9 صبح الی 12 و سه شنبه 9 صبح الی 12 و پنجشنبه 9 صبح الی 12 و جمعه 9 صبح الی 12 و شنبه 9 صبح الی 1
